,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2018/6/19,13,15,12,16,13,-0.031047897,-0.021112852,-0.03006431,-0.033702915,-0.049326144,-0.035250424,-0.062407571,-0.014075719,0.013081428,0.013081428,0.90225866,0.856427737,0.896198674,0.861368164,1.019783983
2018/6/20,13,15,12,16,13,0.004917587,0.003422297,0.003425062,0.000320236,0.011226357,0.003954578,0.01102357,0.00727178,0.000202787,0.000202787,0.906695596,0.859358687,0.89926821,0.861644005,1.031232442
2018/6/21,13,15,12,16,13,0.000472226,-0.002115928,-0.006215517,-0.005319615,-0.007383652,-0.011682217,-0.020994962,0.004298565,0.01361131,0.01361131,0.907123761,0.857540346,0.893678793,0.857060391,1.02361818
2018/6/22,16,12,12,16,13,0.002529692,-6.21E-05,0.006299598,0.004146253,0.015162489,0.004433658,0.013925431,0.010728831,0.001237058,0.001237058,0.909418504,0.857487054,0.89930861,0.86061398,1.03913878
2018/6/25,16,12,12,16,13,0.004603084,0.005351859,0.004344486,0.00078629,0.000497754,-0.013416831,-0.006800229,0.013914585,0.007297984,0.007297984,0.913604634,0.862076204,0.903215644,0.861290672,1.039656015
2018/6/26,16,12,12,16,13,0.0004994,-0.001206968,-0.000868035,0.001669447,0.006684628,-0.008248888,0.006878009,0.014933516,-0.000193381,-0.000193381,0.914060888,0.861035706,0.902431621,0.862728551,1.046605729
2018/6/27,16,12,12,16,13,-0.006565301,-0.003123969,-0.003082412,-0.006417348,-0.007539002,-0.020347709,-0.009840551,0.012808707,0.002301549,0.002301549,0.908059803,0.858345857,0.899649955,0.857192122,1.038715366
2018/6/28,16,12,12,16,13,-0.001558846,0.001098426,-0.00152509,0.002263886,-0.000419347,-0.010328799,-0.010644877,0.009909451,0.01022553,0.01022553,0.906644278,0.859288686,0.898277908,0.859132707,1.038279783
2018/6/29,15,10,16,15,14,0.012458555,0.006348721,0.008327913,0.015232656,0.034898092,0.02554381,0.032175363,0.009354282,0.002722729,0.002722729,0.917939756,0.864744071,0.905758688,0.87221958,1.074513767
2018/7/2,15,10,16,15,14,-0.007059354,-0.005230409,-0.009461257,-0.008816495,-0.003541046,-0.029342235,-0.015136764,0.025801189,0.011595717,0.011595717,0.911459694,0.860221105,0.897189072,0.864529661,1.070708864
2018/7/3,15,10,16,15,14,0.002124158,0.002920079,0.004535173,0.006539902,0.012465634,0.000387328,0.011354835,0.012078306,0.001110799,0.001110799,0.913395779,0.862733019,0.901257979,0.8701836,1.084055928
2018/7/4,15,10,16,15,14,-0.000622389,0.001024357,-0.002628973,-0.003290425,-0.007254466,-0.013354726,-0.014583049,0.00610026,0.007328582,0.007328582,0.912827291,0.863616766,0.898888596,0.867320326,1.076191681
2018/7/5,15,10,16,15,14,0.000121983,0.001032384,-0.001539221,-0.000515689,-0.00674677,-0.006335191,-0.027059324,-0.000411579,0.020312554,0.020312554,0.912938641,0.86450835,0.897505008,0.866873059,1.068930864
2018/7/6,17,11,16,14,13,-0.001268239,-0.000618156,0.001063988,0.001178069,0.001066112,0.006785462,0.002783598,-0.00571935,-0.001717485,-0.001717485,0.911780816,0.86397395,0.898459942,0.867894295,1.070070464
2018/7/9,17,11,16,14,13,0.008896607,0.007490258,0.009508693,0.015066229,0.004728842,0.027951455,0.022198962,-0.023222613,-0.01747012,-0.01747012,0.919892572,0.870445337,0.907003122,0.88097019,1.075130658
2018/7/10,17,11,16,14,13,0.002284207,0.000919421,-0.000153538,-0.000313178,0.010490089,0.002410976,0.005673953,0.008079113,0.004816135,0.004816135,0.921993797,0.871245643,0.906863863,0.880694289,1.086408874
2018/7/11,17,11,16,14,13,-0.003264882,-0.00558967,-0.003573527,-0.004786045,-0.007540289,-0.017300549,-0.019540429,0.00976026,0.01200014,0.01200014,0.918983596,0.866375668,0.90362316,0.876479246,1.078217038
2018/7/12,17,11,16,14,13,0.008925446,0.007571657,0.008010594,0.01368985,0.025903074,0.02157868,0.027072214,0.004324394,-0.001169139,-0.001169139,0.927185935,0.872935567,0.910861718,0.888478116,1.106146174
2018/7/13,13,17,15,15,13,0.001757602,0.004135144,0.001388623,0.001460058,0.001180988,0.003340936,0.006126631,-0.002159949,-0.004945644,-0.004945644,0.928815559,0.876545282,0.912126562,0.889775346,1.107452519
2018/7/16,13,17,15,15,13,-0.001457738,-0.002047708,-0.002400044,-0.001636672,-0.002896874,-0.005898033,-0.001727454,0.003001159,-0.00116942,-0.00116942,0.927461589,0.874750373,0.909937418,0.888319075,1.104244368
2018/7/17,13,17,15,15,13,0.002974566,0.001310953,0.00379436,0.00469578,0.003408216,-0.006540729,0.000192485,0.009948945,0.00321573,0.00321573,0.930220385,0.87589713,0.913390048,0.892490426,1.108007871
2018/7/18,13,17,15,15,13,0.001717103,0.002668149,0.00344136,0.002781074,0.001955074,-0.005235724,-0.007613256,0.007190797,0.00956833,0.00956833,0.931817669,0.878234154,0.916533352,0.894972508,1.110174108
2018/7/19,13,17,15,15,13,0.00700028,0.004326135,0.003841069,-0.00069507,-0.004984634,-0.00086847,-0.008786729,-0.004116164,0.003802095,0.003802095,0.938340654,0.882033513,0.92005382,0.89435044,1.104640296
2018/7/20,16,15,15,15,13,0.008994455,0.008761268,0.007168563,0.011093939,0.005122395,0.018828354,0.012505551,-0.01370596,-0.007383157,-0.007383157,0.946780516,0.889761245,0.926649284,0.904272309,1.1102987
2018/7/23,16,15,15,15,13,0.006107742,0.005229381,0.005510949,0.0077233,-0.016596174,0.009407682,0.007487561,-0.026003856,-0.024083735,-0.024083735,0.952563207,0.894414146,0.931756,0.911256275,1.09187199
2018/7/24,16,15,15,15,13,-0.000575096,0.003329428,0.00585851,0.002562174,0.007484881,0.0158718,0.017383966,-0.008386919,-0.009899085,-0.009899085,0.952015392,0.897392034,0.937214702,0.913591072,1.100044522
2018/7/25,16,15,15,15,13,0.004656005,0.001342833,-0.002350597,-0.001189546,-0.00421007,-0.001105617,0.000757827,-0.003104452,-0.004967897,-0.004967897,0.956447981,0.898597081,0.935011688,0.912504314,1.095413258
2018/7/26,16,15,15,15,13,-0.006073395,-0.005562296,-0.004936034,-0.00951855,-0.010724621,-0.011599469,-0.006626908,0.000874848,-0.004097713,-0.004097713,0.950639094,0.893598818,0.930396438,0.903818595,1.083665367
2018/7/27,16,15,16,14,15,9.94E-05,-0.003047944,-0.003019052,-0.003779684,-0.006854395,-0.004247437,-0.004587104,-0.002606958,-0.002267291,-0.002267291,0.950733617,0.89087518,0.927587522,0.900402447,1.076237496
2018/7/30,16,15,16,14,15,-0.011491611,-0.00564632,-0.003642157,-0.008015185,-0.003066534,-0.001746549,-0.012218795,-0.001319986,0.009152261,0.009152261,0.939808156,0.885845013,0.924209103,0.893185554,1.072937177
