,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2021/1/6,25,14,31,29,41,-0.002348234,-0.005651074,-0.011494376,-0.003457074,-0.002666189,0.009158983,-0.001772244,-0.011825172,-0.000893945,-0.000893945,1.122504134,1.172977161,1.662124945,1.284980565,1.955813186
2021/1/7,32,20,18,32,37,-0.00584676,-0.01743542,-0.011050754,-0.005867977,0.003174757,0.017717949,0.001528766,-0.014543192,0.001645991,0.001645991,1.115941122,1.152525811,1.643757211,1.277440329,1.962022418
2021/1/8,32,20,18,32,37,0.000842382,-0.004113001,-0.000169369,-0.003400659,-0.006158153,-0.003306334,0.00297945,-0.002851819,-0.009137603,-0.009137603,1.116881171,1.147785471,1.643478809,1.27309619,1.949939983
2021/1/11,32,20,18,32,37,-0.002548525,-0.001503405,-0.00501864,-0.004651568,-0.003875946,-0.009875478,-0.01558497,0.005999532,0.011709024,0.011709024,1.114034771,1.146059884,1.635230781,1.267174297,1.942382121
2021/1/12,32,20,18,32,37,-0.002507432,-0.000363207,0.000398393,0.00498113,0.010640027,0.028521492,0.013605663,-0.017881464,-0.002965636,-0.002965636,1.111241404,1.145643627,1.635882245,1.273486256,1.96304912
2021/1/13,32,20,18,32,37,-0.012653944,0.004537607,-0.008605902,-0.008716309,-0.014489057,-0.003284284,-0.007079073,-0.011204773,-0.007409984,-0.007409984,1.097179818,1.150842107,1.621804003,1.262386157,1.934606389
2021/1/14,28,29,23,31,24,0.008593569,0.007120498,0.002692364,-0.000427693,0.000894517,-0.019274037,-0.00877648,0.020168554,0.009670997,0.009670997,1.106608508,1.159036676,1.626170489,1.261846242,1.936336928
2021/1/15,28,29,23,31,24,-0.000237316,0.007942429,0.005674811,0.008041723,0.006467839,-0.002263064,-0.003476767,0.008730903,0.009944606,0.009944606,1.106345893,1.168242243,1.635398698,1.27199366,1.948860844
2021/1/18,28,29,23,31,24,0.003556158,0.010064476,0.003664437,0.009104997,0.005144349,0.011073491,0.015108687,-0.005929142,-0.009964338,-0.009964338,1.110280234,1.179999989,1.641391513,1.283575159,1.958886465
2021/1/19,28,29,23,31,24,0.002415032,0.001195998,-0.002349612,-0.004485344,-0.004393847,-0.014677848,-0.005846993,0.010284001,0.001453145,0.001453145,1.112961596,1.181411266,1.63753488,1.277817882,1.950279417
2021/1/20,28,29,23,31,24,-0.003507473,-0.001804262,0.004618983,0.004097148,0.005687636,0.007155836,0.009117762,-0.0014682,-0.003430126,-0.003430126,1.109057914,1.179279691,1.645098626,1.283053291,1.961371896
2021/1/21,37,25,25,29,31,-0.004186843,0.00082533,0.003018632,0.004087532,0.005869206,0.016167467,0.013324316,-0.01029826,-0.007455109,-0.007455109,1.104414462,1.180252986,1.650064574,1.288297812,1.972883592
2021/1/22,37,25,25,29,31,-0.010463732,-0.008036344,-0.003767918,0.001766011,0.007529884,0.000864335,0.002311816,0.006665548,0.005218068,0.005218068,1.092858165,1.170768067,1.643847266,1.29057296,1.987739176
2021/1/25,37,25,25,29,31,-0.004105322,-0.00958406,-0.004949757,-0.002512922,1.23E-05,0.010079393,0.001129891,-0.010067047,-0.001117545,-0.001117545,1.08837163,1.159547356,1.635710621,1.287329851,1.987763715
2021/1/26,37,25,25,29,31,-0.010903025,-0.007802103,-0.012583716,-0.006730293,-0.011165005,-0.020076716,-0.01690666,0.008911712,0.005741656,0.005741656,1.076505087,1.150500448,1.615127302,1.278665744,1.965570324
2021/1/27,37,25,25,29,31,-0.039152493,-0.013142002,-0.00835285,-0.007196681,0.013930017,0.002726298,0.003704293,0.011203719,0.010225723,0.010225723,1.034357229,1.135380568,1.601636386,1.269463595,1.992950752
