,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls,1,1,1,1,1
2017/3/14,3,3,3,3,3,-0.001556133,-0.000546627,-0.001905036,0.000785041,-0.002693393,-0.000407738,-0.002214232,-0.002285654,-0.000479161,-0.000479161,0.999877736,1.0132782,0.957176246,0.986371314,1.00358121
2017/3/15,3,3,3,3,3,-0.002164265,-0.002067989,-0.001546292,-0.001357282,0.003039091,0.002010594,-0.001144223,0.001028497,0.004183314,0.004183314,0.997713735,1.011182752,0.955696172,0.98503253,1.006631185
2017/3/16,3,3,3,3,3,-0.001704724,-0.000317491,5.07E-05,-0.001764676,0.000286974,0.005159312,0.008831247,-0.004872338,-0.008544273,-0.008544273,0.996012909,1.010861711,0.955744645,0.983294267,1.006920062
2017/3/17,3,3,3,3,3,-0.001197621,-0.00256824,-0.005407415,-0.007270991,-0.004123196,-0.010254171,-0.009183383,0.006130975,0.005060187,0.005060187,0.994820063,1.008265575,0.950576537,0.976144744,1.002768333
2017/3/20,3,3,3,3,3,-0.002219638,-0.002025977,-0.004682852,-0.004059564,-0.000335533,0.001102789,0.002327536,-0.001438322,-0.002663069,-0.002663069,0.992611923,1.006222852,0.946125128,0.972182022,1.002431871
2017/3/21,3,3,3,3,3,0.001671845,-0.001329274,-0.001602475,-0.001451392,0.005292125,0.004852722,0.002709923,0.000439403,0.002582202,0.002582202,0.994271416,1.004885306,0.944608987,0.970771005,1.007736866
2017/3/22,3,3,3,3,3,-0.001840355,-0.001676441,-0.004273955,0.001219803,-0.002584145,-0.004702353,-0.002480068,0.002118208,-0.000104077,-0.000104077,0.992441604,1.003200675,0.94057177,0.971955154,1.005132728
2017/3/23,3,3,3,3,3,0.001673728,0.001552558,-0.000831379,-0.001483108,-0.000231883,0.003457921,0.001907754,-0.003689804,-0.002139637,-0.002139637,0.994102681,1.004758202,0.939789798,0.97051364,1.004899655
2017/3/24,3,3,3,3,3,0.006421818,0.004494541,0.007594981,0.005535249,0.0089451,0.007978093,0.005287008,0.000967006,0.003658092,0.003658092,1.000486627,1.009274129,0.946927484,0.975885675,1.013888583
2017/3/27,3,3,3,3,3,-0.001852878,0.001457715,0.001087794,-0.001951225,-0.004408053,-0.003312701,-0.00467264,-0.001095352,0.000264587,0.000264587,0.998632847,1.010745364,0.947957546,0.973981502,1.009419308
2017/3/28,3,3,3,3,3,1.33E-06,0.000127047,0.002687294,-0.001353937,-0.0042717,-0.002366275,-0.00266113,-0.001905425,-0.001610571,-0.001610571,0.998634177,1.010873776,0.950504987,0.972662793,1.005107371
2017/3/29,3,3,3,3,3,-0.002554293,-0.002007659,0.00148185,-0.000173669,-2.78E-05,-0.001331485,-0.002792871,0.001303649,0.002765035,0.002765035,0.996083372,1.008844286,0.951913493,0.972493872,1.005079393
2017/3/30,3,3,3,3,3,-0.003120007,-0.003828108,-0.003044158,-0.005094471,-0.00407149,-0.008204456,-0.016171492,0.004132966,0.012100002,0.012100002,0.992975585,1.004982321,0.949015717,0.96753953,1.000987223
2017/3/31,3,3,3,3,3,0.001228902,0.002235655,-0.001484658,-0.006378065,-0.015952667,0.005612845,0.004063842,-0.021565512,-0.020016509,-0.020016509,0.994195856,1.007229114,0.947606753,0.9613685,0.985018806
