,num_1,num_2,num_3,num_4,num_5,score_1,score_2,score_3,score_4,score_5,000300.SH,000905.SH,excess_300,excess_500,ls
2020-08-04,55.0,55.0,55.0,55.0,54.0,-0.006057330921198261,-0.004191323365815596,-0.0013458371854195303,-0.001541391323487409,-0.001292605218952747,0.0009410413492310088,-0.006246466888532476,-0.002233646568183756,0.004953861669579729,0.004953861669579729
2020-08-05,55.0,55.0,55.0,55.0,54.0,0.01990822531327752,0.011390653939592585,0.005556324648575528,0.0030393621839846776,0.0037602038539964566,0.00027429959378522106,0.011217266797159064,0.0034859042602112355,-0.0074570629431626075,-0.0074570629431626075
2020-08-06,55.0,55.0,55.0,55.0,54.0,-0.0053911017426265095,0.0014781348006377671,-0.004350148927569316,-0.0036590725481472856,-0.0007378788565700685,-0.003003908220660545,-0.0003750273149816241,0.0022660293640904767,-0.0003628515415884444,-0.0003628515415884444
2020-08-07,55.0,55.0,55.0,55.0,54.0,-0.009183762197341936,-0.0026436524255755967,0.004218747449982881,-0.006488868091865721,0.009982052525738163,-0.01151223240306043,-0.012026054975407319,0.021494284928798593,0.02200810750114548,0.02200810750114548
2020-08-10,55.0,55.0,55.0,55.0,54.0,0.011241837581814539,0.01169773914338394,0.0227415008564829,0.007259875105676147,0.02868267411514116,0.0035981843400390012,0.005444857734030251,0.025084489775102158,0.023237816381110908,0.023237816381110908
2020-08-11,55.0,55.0,55.0,55.0,54.0,-0.021391891054407162,-0.017538149560501724,-0.013098243781846394,-0.0014677080431554333,0.0018704539460553439,-0.009119827635469369,-0.018504750717440066,0.010990281581524713,0.02037520466349541,0.02037520466349541
2020-08-12,55.0,55.0,55.0,55.0,54.0,-0.011690634579850614,-0.007009193435691018,0.013505894418107137,-0.0020320287393844816,0.002628296110244232,-0.007292098304490957,-0.010975859169652491,0.00992039441473519,0.013604155279896724,0.013604155279896724
2020-08-13,55.0,55.0,55.0,55.0,54.0,0.026715180805340098,0.003224192630715234,0.004419813330873408,0.0025714738812998043,-0.0009168315360736243,-0.0025668941656411537,0.0037160713191592976,0.0016500626295675295,-0.004632902855232922,-0.004632902855232922
2020-08-14,55.0,55.0,55.0,55.0,54.0,-0.012758826720918316,-0.00015063849332020633,-0.0034696049146340953,0.0003408404402886348,-0.0023080578862851786,0.014867194022059271,0.01082003339102,-0.01717525190834445,-0.01312809127730518,-0.01312809127730518
2020-08-17,55.0,55.0,55.0,55.0,54.0,0.01976433945360708,0.019906848044665883,0.005719840388451429,0.009047220197254586,0.004088498402439869,0.02350875626776161,0.018266611912626907,-0.01942025786532174,-0.014178113510187038,-0.014178113510187038
2020-08-18,55.0,55.0,55.0,55.0,54.0,0.004079339198182175,0.011017959273704418,0.003861965359566399,0.0034069706489781447,0.0013506097543356708,-0.0005129557674294905,0.006649813553164963,0.0018635655217651612,-0.0052992037988292915,-0.0052992037988292915
2020-08-19,55.0,55.0,55.0,55.0,54.0,-0.013994029578331589,-0.005590524146161105,-0.0030071991054789887,5.664467341909198e-05,-0.0006560209797085631,-0.014976853198580442,-0.01813562317730566,0.01432083221887188,0.017479602197597095,0.017479602197597095
2020-08-20,55.0,55.0,55.0,55.0,54.0,-0.007387415957627628,-0.01275386051986601,0.0013698694855175334,-0.00787128099815719,0.0014893189195700999,-0.012979150670368145,-0.010872646922492013,0.014468469589938245,0.012361965842062114,0.012361965842062114
2020-08-21,59.0,59.0,60.0,59.0,59.0,0.007649401315614753,0.00016630359327645923,-0.001381614942630653,0.00124489609257095,-0.0015816013789938836,0.008482309821228329,0.0076056410653053685,-0.010063911200222212,-0.009187242444299252,-0.009187242444299252
